objective,retrieval_condition,window_size,mask_count,mask_position,landscape_size,beta,accuracy,lower_ci,upper_ci,effective_n,bigram_accuracy,mean_gap,mean_entropy,mean_energy,mean_top_score,cap_error_0_3,cap_error_0_5,cap_error_0_7,metastable_rate
masked_token,memorization,4,1,edge,256,10.0,0.8409090909090909,0.7063350943621746,0.920734234422816,44,0.18181818181818182,0.37225876325233415,0.09178881961005655,-1.0192535736344077,0.9998813312162053,0.0,0.0,0.0,0.0
masked_token,generalization,4,1,edge,256,10.0,0.0,0.0,0.06879459041288215,52,0.21153846153846154,0.055791934952139854,0.3202159439858336,-1.1425138757779048,0.9998745379539636,0.0,0.0,0.0,0.0
masked_token,memorization,4,1,end,256,10.0,0.9285714285714286,0.8099028671147485,0.9754100364488272,42,0.16666666666666666,0.3925499137313593,0.0721016593188757,-1.0083652763139634,0.9998793758097149,0.0,0.0,0.0,0.0
masked_token,generalization,4,1,end,256,10.0,0.0,0.0,0.07135003417431873,50,0.14,0.05375641472637653,0.3275687688589096,-1.145491976737976,0.999881192445755,0.0,0.0,0.0,0.0
masked_token,memorization,4,2,center,256,10.0,0.2631578947368421,0.14971462389701298,0.42009150206375323,38,0.0,0.11456736378175647,0.265494459014582,-1.1194329136296322,0.9999430258023111,0.0,0.0,0.0,0.0
masked_token,generalization,4,2,center,256,10.0,0.0,0.0,0.10151790621961015,34,0.0,0.014244115747073117,0.3428720406749669,-1.1571847551009233,0.9999256291810203,0.0,0.0,0.0,0.0
masked_token,memorization,4,2,edge,256,10.0,0.42424242424242425,0.272353589950299,0.5919302630853998,33,0.0,0.17484642610405432,0.21788288889960808,-1.096844788753625,0.9999611215157942,0.0,0.0,0.0,0.0
masked_token,generalization,4,2,edge,256,10.0,0.0,0.0,0.08762453925039232,40,0.0,0.03271469087339938,0.3359128524549305,-1.152598398923874,0.9998678222298623,0.0,0.0,0.0,0.0
masked_token,memorization,4,2,end,256,10.0,0.3,0.16664562643958936,0.47876121011660183,30,0.0,0.1256578708688418,0.24087040616820257,-1.1023276607195536,0.9998895068963368,0.0,0.0,0.0,0.0
masked_token,generalization,4,2,end,256,10.0,0.0,0.0,0.09890426758938868,35,0.0,0.020025972968765668,0.3359144474778857,-1.153470536640712,0.9999230316707066,0.0,0.0,0.0,0.0
next_token,memorization,4,,,256,30.0,0.9523809523809523,0.8420986468452026,0.9868427513607937,42,0.21428571428571427,0.4034509817581801,1.1040004374605696e-05,-1.0000001646223522,1.0,0.0,0.0,0.0,0.0
next_token,generalization,4,,,256,30.0,0.08,0.031549003255790686,0.18838502545063707,50,0.12,0.2487960384786129,0.019236625038750284,-1.0035342836380006,1.0,0.0,0.0,0.0,0.0
masked_token,memorization,4,1,center,256,30.0,0.9574468085106383,0.8575121280614056,0.9882519706294304,47,0.23404255319148937,0.405434805503551,2.298057150788698e-05,-1.000000370309708,1.0,0.0,0.0,0.0,0.0
masked_token,generalization,4,1,center,256,30.0,0.022222222222222223,0.003933497522757507,0.11566946388718814,45,0.15555555555555556,0.1944282583064503,0.057195804931819784,-1.0105649365319147,1.0,0.0,0.0,0.0,0.0
masked_token,memorization,4,1,edge,256,30.0,0.9545454545454546,0.8486472847469684,0.987445153633019,44,0.18181818181818182,0.4122828301888975,9.15555245147657e-06,-1.0000001381744037,1.0,0.0,0.0,0.0,0.0
masked_token,generalization,4,1,edge,256,30.0,0.0,0.0,0.06879459041288215,52,0.21153846153846154,0.27948915392446977,0.020884382191608878,-1.0038423996705275,1.0,0.0,0.0,0.0,0.0
masked_token,memorization,4,1,end,256,30.0,0.9523809523809523,0.8420986468452026,0.9868427513607937,42,0.16666666666666666,0.40394358789282186,1.1043647896999542e-05,-1.0000001646223522,1.0,0.0,0.0,0.0,0.0
masked_token,generalization,4,1,end,256,30.0,0.08,0.031549003255790686,0.18838502545063707,50,0.14,0.22303642235696317,0.028333041533408966,-1.0052178764343263,1.0,0.0,0.0,0.0,0.0
masked_token,memorization,4,2,center,256,30.0,0.8947368421052632,0.7586916879980553,0.9582981020673341,38,0.0,0.3673392546020056,0.030557203072408525,-1.0056472263838117,1.0,0.0,0.0,0.0,0.0
masked_token,generalization,4,2,center,256,30.0,0.0,0.0,0.10151790621961015,34,0.0,0.08093767711783156,0.13662728803878751,-1.0252467428936678,1.0,0.0,0.0,0.0,0.0
masked_token,memorization,4,2,edge,256,30.0,0.8484848484848485,0.6907978686153953,0.9334964074203904,33,0.0,0.3789019185033711,7.899539218866964e-05,-1.0000013149145879,1.0,0.0,0.0,0.0,0.0
masked_token,generalization,4,2,edge,256,30.0,0.0,0.0,0.08762453925039232,40,0.0,0.20665191463194788,0.07378617466697994,-1.0136195361614226,1.0,0.0,0.0,0.0,0.0
masked_token,memorization,4,2,end,256,30.0,0.8,0.6269395261897257,0.9049502189759876,30,0.0,0.3443130916605393,0.027696142040552797,-1.0051170587539673,1.0,0.0,0.0,0.0,0.0
masked_token,generalization,4,2,end,256,30.0,0.0,0.0,0.09890426758938868,35,0.0,0.17073743369962488,0.06165766714266629,-1.011390311377389,1.0,0.0,0.0,0.0,0.0
next_token,memorization,4,,,256,100.0,0.9523809523809523,0.8420986468452026,0.9868427513607937,42,0.21428571428571427,0.40345110717628685,1.2706374841187085e-09,-1.0,1.0,0.0,0.0,0.0,0.0
next_token,generalization,4,,,256,100.0,0.06,0.02061459636463048,0.16217343370877002,50,0.12,0.3136357839405537,0.020804821153478217,-1.0011536574363709,1.0,0.0,0.0,0.0,0.0
masked_token,memorization,4,1,center,256,100.0,0.9574468085106383,0.8575121280614056,0.9882519706294304,47,0.23404255319148937,0.4054347106275406,1.2706374841187085e-09,-1.0,1.0,0.0,0.0,0.0,0.0
masked_token,generalization,4,1,center,256,100.0,0.022222222222222223,0.003933497522757507,0.11566946388718814,45,0.15555555555555556,0.20284390085273318,0.05437617933410981,-1.0030152453316583,1.0,0.0,0.0,0.0,0.0
masked_token,memorization,4,1,edge,256,100.0,0.9545454545454546,0.8486472847469684,0.987445153633019,44,0.18181818181818182,0.41228333835236053,1.2706374841187085e-09,-1.0,1.0,0.0,0.0,0.0,0.0
masked_token,generalization,4,1,edge,256,100.0,0.0,0.0,0.06879459041288215,52,0.21153846153846154,0.2943913091260653,0.02077850124081389,-1.0011521990482624,1.0,0.0,0.0,0.0,0.0
masked_token,memorization,4,1,end,256,100.0,0.9523809523809523,0.8420986468452026,0.9868427513607937,42,0.16666666666666666,0.40394370444118977,1.2706374841187085e-09,-1.0,1.0,0.0,0.0,0.0,0.0
masked_token,generalization,4,1,end,256,100.0,0.06,0.02061459636463048,0.16217343370877002,50,0.14,0.2639135766774416,0.024914461300350927,-1.0013815450668335,1.0,0.0,0.0,0.0,0.0
