label,seed,recall_correct,raw_synergy,settled_synergy_at_mask
random,17,1,0.314553,0.046578
random,17,0,0.314612,0.010212
random,17,1,0.310963,0.046739
random,17,0,0.309396,-0.002315
random,17,0,0.316509,-0.001030
random,17,0,0.311660,-0.001213
random,17,0,0.309915,-0.005381
random,17,0,0.308927,-0.042711
random,17,0,0.313265,-0.023628
random,17,1,0.312334,0.046623
random,17,0,0.321259,-0.001740
random,17,0,0.315094,-0.008828
random,17,0,0.313403,-0.022840
random,17,0,0.306807,-0.011266
random,17,1,0.314152,0.046592
random,17,0,0.311530,0.004949
random,17,0,0.301747,-0.013322
random,17,0,0.307477,0.007340
random,17,0,0.339167,-0.003807
random,17,0,0.299649,-0.005371
random,17,0,0.318835,-0.011551
random,17,0,0.308450,-0.033831
random,17,0,0.326547,0.016719
random,17,0,0.315171,-0.032597
random,17,0,0.312455,0.005976
random,17,0,0.306162,-0.005362
random,17,0,0.312652,0.010637
random,17,0,0.308178,0.005470
random,17,0,0.318350,-0.009675
random,17,0,0.313477,-0.004728
random,17,0,0.315020,-0.008317
random,17,0,0.312815,-0.005427
random,1,0,0.307675,0.014534
random,1,0,0.301953,-0.011199
random,1,0,0.316505,0.000598
random,1,0,0.309711,-0.020366
random,1,0,0.310069,-0.023992
random,1,0,0.307529,-0.015425
random,1,0,0.312606,0.001538
random,1,0,0.327157,0.014532
random,1,1,0.307803,0.059394
random,1,0,0.297339,0.046971
random,1,0,0.314540,0.012060
random,1,1,0.301055,0.059376
random,1,0,0.309435,-0.001882
random,1,0,0.309395,0.014511
random,1,0,0.313411,0.006978
random,1,0,0.305078,-0.011172
random,1,0,0.303537,0.027675
random,1,0,0.308876,-0.001260
random,1,0,0.315326,-0.032278
random,1,0,0.308874,-0.004789
random,1,0,0.304744,-0.003083
random,1,1,0.311203,0.059379
random,1,0,0.303508,0.000600
random,1,1,0.312743,0.059375
random,1,0,0.322026,-0.004057
random,1,0,0.302582,0.005272
random,1,0,0.320426,-0.018852
random,1,0,0.306755,-0.018330
random,1,0,0.297824,0.014538
random,1,0,0.300286,0.010669
random,1,0,0.311677,-0.011305
random,1,0,0.302467,-0.024373
random,1,0,0.296592,-0.010136
random,1,0,0.315794,0.009945
random,1,0,0.317947,-0.010229
random,1,0,0.310740,0.014513
random,1,0,0.306518,0.005781
random,1,0,0.310989,-0.005960
random,1,0,0.299798,0.002180
random,1,0,0.305739,-0.012772
random,1,0,0.300935,-0.019590
random,1,1,0.310566,0.059376
random,1,0,0.306553,-0.012770
random,1,0,0.309521,0.009554
random,1,0,0.316784,-0.023993
random,1,0,0.305274,0.046977
random,1,0,0.312197,-0.007509
random,1,0,0.306751,0.012275
random,1,0,0.305299,-0.016133
random,1,0,0.317570,-0.004344
random,1,0,0.306524,0.014528
random,1,0,0.311531,-0.008522
random,1,0,0.303808,0.003788
random,1,0,0.314821,-0.022443
random,1,0,0.298200,-0.005923
