content_mode,temporal_mode,temporal_beta,top_label,recall_at_4,final_top_weight,final_entropy,iterations,converged,regime
noise_only,single_neighbor,8,coffee,0.0,0.9645569460060485,0.062254387679695,6,True,flipped
noise_only,single_neighbor,16,table,0.25,0.9986495226982433,0.004224828083831972,3,True,flipped
noise_only,single_neighbor,32,table,0.25,0.9999999447966644,3.6357305142754636e-07,3,True,flipped
noise_only,single_neighbor,64,table,0.25,0.9999999999999991,1.3756563678717878e-14,3,True,flipped
noise_only,single_neighbor,100,table,0.25,1.0,1.2647320507749422e-22,2,True,flipped
noise_only,neighbor_plus_noise,0.5,coffee,0.0,0.4486502482752146,0.5062636377067499,4,True,flipped
noise_only,neighbor_plus_noise,1,coffee,0.0,0.5027833404390346,0.482672326442573,6,True,flipped
noise_only,neighbor_plus_noise,2,coffee,0.0,0.6434870773976439,0.40568448797628653,7,True,flipped
noise_only,neighbor_plus_noise,4,coffee,0.0,0.8523939307907163,0.21889070554935114,6,True,flipped
noise_only,neighbor_plus_noise,8,coffee,0.0,0.9651158776835194,0.0610944222006822,5,True,flipped
noise_only,neighbor_plus_noise,16,table,0.25,0.9983539426217397,0.005014580661836801,4,True,flipped
noise_only,neighbor_plus_noise,32,table,0.25,0.9999999264059353,4.753780150943812e-07,3,True,flipped
noise_only,neighbor_plus_noise,64,table,0.25,0.9999999999999993,9.842305671451113e-15,3,True,flipped
noise_only,neighbor_plus_noise,100,table,0.25,1.0,4.7350061648624745e-23,2,True,flipped
noise_only,wrong_pair,0.5,coffee,0.0,0.4447817263341395,0.5087825665698293,4,True,flipped
noise_only,wrong_pair,1,coffee,0.0,0.4900918993407467,0.48982136825493544,5,True,flipped
noise_only,wrong_pair,2,coffee,0.0,0.6093339938620841,0.429725482358683,7,True,flipped
noise_only,wrong_pair,4,coffee,0.0,0.814391985069784,0.2610732571317705,6,True,flipped
noise_only,wrong_pair,8,coffee,0.0,0.9452629277134547,0.08879279426489552,6,True,flipped
noise_only,wrong_pair,16,coffee,0.0,0.9867440366038609,0.02421199087429279,8,True,flipped
noise_only,wrong_pair,32,window,0.0,0.9981512033886043,0.005260591999246976,3,True,flipped
noise_only,wrong_pair,64,window,0.0,0.9999995201536696,2.6147444889214924e-06,2,True,flipped
noise_only,wrong_pair,100,window,0.0,0.9999999997742322,1.7555382675770359e-09,2,True,flipped
noise_only,noise_only,0.5,coffee,0.0,0.4499279950862157,0.5055457763383134,4,True,flipped
noise_only,noise_only,1,coffee,0.0,0.5047454478314402,0.4813114725364806,6,True,flipped
noise_only,noise_only,2,coffee,0.0,0.6465999379414737,0.4029684042596786,7,True,flipped
noise_only,noise_only,4,coffee,0.0,0.8555474614889759,0.21502640100360146,6,True,flipped
noise_only,noise_only,8,coffee,0.0,0.9665775203514384,0.05896115933958804,5,True,flipped
noise_only,noise_only,16,coffee,0.0,0.9947394731514706,0.011143871139598024,4,True,flipped
noise_only,noise_only,32,coffee,0.0,0.9997969261884866,0.0006442425706474997,4,True,flipped
noise_only,noise_only,64,coffee,0.0,0.999999679724777,1.705659257479084e-06,3,True,flipped
noise_only,noise_only,100,paint,0.0,1.0,7.738477693347474e-22,3,True,flipped
