experiment,window,beta,family_noise,ordered_recall,shuffle_recall,shuffle_delta,content_recall,temporal_recall,temporal_advantage,entropy,top_score,regime
content_distractor,1,1,0.18,,,,0.0,0.0,0.0,0.9667724292884639,0.9657654735309087,interference
content_distractor,1,2,0.18,,,,0.0,0.5,0.5,0.8520242182172288,0.9851266314946868,blend
content_distractor,1,4,0.18,,,,0.0,0.5,0.5,0.628705599808984,0.9871394017632124,weak_temporal
content_distractor,1,8,0.18,,,,0.0,0.5,0.5,0.5405804167875397,0.9870712464112287,weak_temporal
content_distractor,1,16,0.18,,,,0.0,0.5,0.5,0.5372421239082421,0.987093684603963,weak_temporal
content_distractor,1,32,0.18,,,,0.0,0.5,0.5,0.5372235125278111,0.9871455249124929,weak_temporal
content_distractor,1,64,0.18,,,,0.0,0.5,0.5,0.5370889340821448,0.987304699729141,weak_temporal
content_distractor,1,100,0.18,,,,0.0,1.0,1.0,0.46963503136026585,0.9952731679125241,robust_temporal
content_distractor,1,200,0.18,,,,0.0,1.0,1.0,0.015588688512948187,0.999999248819477,robust_temporal
content_distractor,2,1,0.18,,,,0.0,0.0,0.0,0.9665356457114057,0.9650631154202008,interference
content_distractor,2,2,0.18,,,,0.0,0.0,0.0,0.8512650824875683,0.9848718484145979,interference
content_distractor,2,4,0.18,,,,0.0,0.0,0.0,0.6282305635467453,0.9877388324174394,interference
content_distractor,2,8,0.18,,,,0.0,0.0,0.0,0.5405797571782653,0.9877821509114625,interference
content_distractor,2,16,0.18,,,,0.0,0.0,0.0,0.5372121707235994,0.987833163557004,interference
content_distractor,2,32,0.18,,,,0.0,0.0,0.0,0.5370685612504128,0.9879562011603368,interference
content_distractor,2,64,0.18,,,,0.0,0.0,0.0,0.5359751433320485,0.988327395380019,interference
content_distractor,2,100,0.18,,,,0.0,1.0,1.0,0.497646326432413,0.9938236959081855,robust_temporal
content_distractor,2,200,0.18,,,,0.0,1.0,1.0,0.01693312158830266,0.9999990836991942,robust_temporal
content_distractor,3,1,0.18,,,,0.2,0.0,-0.2,0.9663682549722304,0.9640938475927495,interference
content_distractor,3,2,0.18,,,,0.2,0.0,-0.2,0.850194104175701,0.9852978839213368,interference
content_distractor,3,4,0.18,,,,0.2,0.0,-0.2,0.6269693511383178,0.9883677823930538,interference
content_distractor,3,8,0.18,,,,0.2,0.0,-0.2,0.5404504586269631,0.9884508966228699,interference
content_distractor,3,16,0.18,,,,0.2,0.0,-0.2,0.5372245618308938,0.9885177457688559,interference
content_distractor,3,32,0.18,,,,0.2,0.0,-0.2,0.5371358021700554,0.988676315986934,interference
content_distractor,3,64,0.18,,,,0.2,0.0,-0.2,0.5364564586486555,0.9891680109470351,interference
content_distractor,3,100,0.18,,,,0.2,0.8,0.6000000000000001,0.5074954621183208,0.9936562731693787,weak_temporal
content_distractor,3,200,0.18,,,,0.2,1.0,0.8,0.02317563864054822,0.9999983062430927,robust_temporal
content_distractor,4,1,0.18,,,,0.3333333333333333,0.3333333333333333,0.0,0.9673898231188749,0.9652355610980984,interference
content_distractor,4,2,0.18,,,,0.3333333333333333,0.16666666666666666,-0.16666666666666666,0.8550897914737201,0.9849995354680712,interference
content_distractor,4,4,0.18,,,,0.3333333333333333,0.0,-0.3333333333333333,0.6321311328696207,0.9879132932812885,interference
content_distractor,4,8,0.18,,,,0.3333333333333333,0.0,-0.3333333333333333,0.5409110509342374,0.987960308948336,interference
content_distractor,4,16,0.18,,,,0.3333333333333333,0.0,-0.3333333333333333,0.537237389681326,0.9879887307005235,interference
content_distractor,4,32,0.18,,,,0.3333333333333333,0.0,-0.3333333333333333,0.5371962703465165,0.988057537672997,interference
content_distractor,4,64,0.18,,,,0.3333333333333333,0.0,-0.3333333333333333,0.5369000817601091,0.9882637948032197,interference
content_distractor,4,100,0.18,,,,0.3333333333333333,0.3333333333333333,0.0,0.5290151787490643,0.9909785832819276,interference
content_distractor,4,200,0.18,,,,0.3333333333333333,1.0,0.6666666666666667,0.01916376875341796,0.9999987965300788,robust_temporal
content_distractor,1,1,0.35,,,,0.0,0.0,0.0,0.9691037004238273,0.9273469142343624,interference
content_distractor,1,2,0.35,,,,0.0,0.0,0.0,0.8584721617559321,0.9512616365710146,interference
content_distractor,1,4,0.35,,,,0.0,0.0,0.0,0.6349989792626995,0.9545972221118563,interference
content_distractor,1,8,0.35,,,,0.0,0.0,0.0,0.5410246545209657,0.9549944189170188,interference
content_distractor,1,16,0.35,,,,0.0,0.0,0.0,0.5363150913681562,0.9561267543920493,interference
